Date;Poule;niveau_observation;Ponte;Etat_oeuf;Doute;Effectif;Remarques
2023-02-17;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-17;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-17;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-17;Pioupioute;individuel;1;cassé;False;1;RAS
2023-02-17;Augustine;individuel;0;RAS;False;1;fin antibio
2023-02-18;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-18;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-18;Valérie;individuel;0;RAS;False;1;RAS
2023-02-18;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-18;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-18;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-18;MARANS;groupe;1;RAS;False;1;RAS
2023-02-18;Augustine;individuel;0;RAS;False;1;RAS
2023-02-19;MARANS;groupe;1;RAS;False;1;RAS
2023-02-19;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-19;Augustine;individuel;0;RAS;False;1;RAS
2023-02-19;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-19;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-19;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-19;Valérie;individuel;0;RAS;False;1;RAS
2023-02-19;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-20;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-20;Augustine;individuel;0;RAS;False;1;RAS
2023-02-20;Pioupioute;individuel;0;RAS;False;1;antibio
2023-02-20;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-20;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-20;Valérie;individuel;0;RAS;False;1;RAS
2023-02-20;MARANS;groupe;0;RAS;False;1;RAS
2023-02-20;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-21;Valérie;individuel;0;RAS;False;1;RAS
2023-02-21;MARANS;groupe;1;RAS;False;1;RAS
2023-02-21;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-21;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-21;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-21;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-21;Augustine;individuel;0;RAS;False;1;RAS
2023-02-21;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-22;Augustine;individuel;0;RAS;False;1;RAS
2023-02-22;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-22;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-22;MARANS;groupe;1;RAS;False;1;RAS
2023-02-22;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-22;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-22;Pioupioute;individuel;0;RAS;False;1;RAS
