Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;THI;Météo;Météo_1;Météo_2;Météo_3;Météo_4;Météo_1_Cat;Météo_2_Cat;Météo_3_Cat;Météo_4_Cat;Météo_Cat
2023-05-13;pluie/éclaircies;6.0;17.0;;;pluie/éclaircies;pluie;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-05-14;giboulées;15.0;13.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-05-15;averses, éclaircies;10.0;15.0;;;averses/éclaircies;averses;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-05-16;averses;6.0;11.0;;;averses;averses;;;;PLUIE;;;;PLUIE
2023-05-17;pluie/éclaircie;2.0;13.0;;;pluie/éclaircie;pluie;éclaircie;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-05-18;beau;0.0;18.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-19;couvert;0.0;14.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-05-20;pluie/couvert;4.0;10.0;;;pluie/couvert;pluie;couvert;;;PLUIE;COUVERT;;;COUVERT|PLUIE
2023-05-21;éclaircies/beau;0.0;15.0;;;éclaircies/beau;éclaircies;beau;;;ECLAIRCIES;BEAU;;;BEAU|ECLAIRCIES
2023-05-22;couvert/beau;0.0;16.0;;;couvert/beau;couvert;beau;;;COUVERT;BEAU;;;BEAU|COUVERT
2023-05-23;pluie/éclaircies;4.0;18.0;;;pluie/éclaircies;pluie;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-05-24;temps lourd/orages;6.0;22.0;;;temps lourd/orages;temps lourd;orages;;;CHAUD;ORAGE;;;CHAUD|ORAGE
2023-05-25;lourd/orages;25.0;20.0;;;lourd/orages;lourd;orages;;;CHAUD;ORAGE;;;CHAUD|ORAGE
