Date;Commentaires;œuf trouvé/date de la trouvaille
2024-12-27;;
2024-12-28;gelée matinale;
2024-12-29;gelée matinale;
2024-12-30;gelée matinale;
2024-12-31;gelée matinale;
2025-01-01;gelée matinale;
2025-01-02;gelée matinale (x(c)=oeuf cassé);
2025-01-03;;
2025-01-04;1 œuf marans minuscule dans le poulailler;
2025-01-05;;
2025-01-06;;
2025-01-07;;
2025-01-08;;
2025-01-09;;
2025-01-10;;
2025-01-11;vent;
2025-01-12;vent la nuit;
2025-01-13;gelée matinale;
2025-01-14;gelée matinale/eau des poules gelée -6°C d’après météoFrance;
2025-01-15;gelée matinale;
2025-01-16;;
2025-01-17;;
2025-01-18;gelée matinale;
2025-01-19;;
2025-01-20;;
2025-01-21;vent;
2025-01-22;vitamine;
2025-01-23;;
2025-01-24;petite gelée matinale;
2025-01-25;;x(marans)
2025-01-26;;
2025-01-27;;
2025-01-28;fin vitamine/vermifuge avipar/tempête en fin de journée;
2025-01-29;changement du thermomètre;
2025-01-30;;
2025-01-31;;
2025-02-01;changement de place du thermomètre;
2025-02-02;;
2025-02-03;gelée matinale;
2025-02-04;gelée matinale;
2025-02-05;gelée matinale;
2025-02-06;gelée matinale;
2025-02-07;gelée matinale/venteux;
2025-02-08;un peu de neige cette nuit;
2025-02-09;gelée matinale;
2025-02-10;;
2025-02-11;pose anti picage Cunégonde;
2025-02-12;retrai anti picage Cunégonde;
2025-02-13;;
2025-02-14;;
2025-02-15;pose anti picage Cunégonde;
2025-02-16;;
2025-02-17;;
2025-02-18;Petit vent;
2025-02-19;Petit vent/épervier dans la volière;
2025-02-20;;
2025-02-21;vent;
2025-02-22;;
2025-02-23;;
2025-02-24;;
2025-02-25;vent;
2025-02-26;Pioupioute et Rémiel chez le véto;
2025-02-27;Gelée matinale/ traitement Pioupioute 10j;
2025-02-28;;
2025-03-01;vent;
2025-03-02;;
2025-03-03;gelée matinale/;
2025-03-04;;
2025-03-05;vent;
2025-03-06;vent (changement de place du pondoir);
2025-03-07;vent;
2025-03-08;vent (alerte jaune)/tempête en fin de journée+nuit;
2025-03-09;;
2025-03-10;;
2025-03-11;;
2025-03-12;;
2025-03-13;;
2025-03-14;;
2025-03-15;vent;
2025-03-16;;
2025-03-17;;
2025-03-18;vent;
2025-03-19;vent/Pioupioute attaquée par le coq;
2025-03-20;vent/ alerte jaune vent;
2025-03-21;fin tempête vers 11h;
