Date;Poule_brute;Ponte_brute;niveau_observation;group_id
2023-03-01;Cunégonde;x;individuel;
2023-03-01;Rémiel;x;individuel;
2023-03-01;MARANS;x;groupe;MARANS
2023-03-01;Saquiel;;individuel;
2023-03-02;Cunégonde;x;individuel;
2023-03-02;Rémiel;;individuel;
2023-03-02;Valérie;x;individuel;
2023-03-02;Joséphine;x;individuel;
2023-03-02;Augustine;;individuel;
2023-03-02;Pioupioute;x;individuel;
2023-03-02;MARANS;;groupe;MARANS
2023-03-02;Saquiel;;individuel;
2023-03-03;Valérie;;individuel;
2023-03-03;Cunégonde;x;individuel;
2023-03-03;Pioupioute;;individuel;
2023-03-03;Joséphine;x;individuel;
2023-03-03;MARANS;x;groupe;MARANS
2023-03-03;Augustine;;individuel;
2023-03-03;Rémiel;x;individuel;
2023-03-03;Saquiel;x(cassé);individuel;
2023-03-04;MARANS;;groupe;MARANS
2023-03-04;Cunégonde;x;individuel;
2023-03-04;Rémiel;;individuel;
2023-03-04;Augustine;;individuel;
2023-03-04;Saquiel;;individuel;
2023-03-04;Valérie;;individuel;
2023-03-04;Joséphine;x;individuel;
2023-03-04;Pioupioute;;individuel;
2023-03-05;Rémiel;;individuel;
2023-03-05;MARANS;x;groupe;MARANS
2023-03-05;Joséphine;x;individuel;
2023-03-05;Saquiel;x(cassé);individuel;
2023-03-05;Augustine;;individuel;
2023-03-05;Valérie;x;individuel;
2023-03-05;Cunégonde;x;individuel;
2023-03-05;Pioupioute;x(cassé);individuel;
2023-03-06;MARANS;;groupe;MARANS
2023-03-06;Joséphine;x;individuel;
2023-03-06;Valérie;x;individuel;
2023-03-06;Rémiel;;individuel;
2023-03-06;Pioupioute;;individuel;
2023-03-06;Cunégonde;;individuel;
2023-03-06;Augustine;;individuel;
2023-03-06;Saquiel;;individuel;
2023-03-07;Augustine;;individuel;
2023-03-07;MARANS;x;groupe;MARANS
2023-03-07;Saquiel;;individuel;
2023-03-07;Joséphine;x;individuel;
2023-03-07;Valérie;x;individuel;
