Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques
2023-09-14;Albertine;;0;1;RAS;False;
2023-09-15;Albertine;;0;1;RAS;False;
2023-09-16;Albertine;;0;1;RAS;False;
2023-09-17;Albertine;;0;1;RAS;False;
2023-09-18;Albertine;;0;1;RAS;False;
2023-09-19;Albertine;;0;1;RAS;False;
2023-09-20;Albertine;;0;1;RAS;False;
2023-09-21;Albertine;;0;1;RAS;False;
2023-09-22;Albertine;;0;1;RAS;False;
2023-09-23;Albertine;;0;1;RAS;False;
2023-09-24;Albertine;;0;1;RAS;False;
2023-09-25;Albertine;;0;1;RAS;False;
2023-09-26;Albertine;;0;1;RAS;False;
2023-09-27;Albertine;;0;1;RAS;False;
2023-09-28;Albertine;;0;1;RAS;False;
2023-09-29;Albertine;;0;1;RAS;False;
2023-09-30;Albertine;;0;1;RAS;False;
2023-10-01;Albertine;;0;1;RAS;False;
2023-10-02;Albertine;;0;1;RAS;False;
2023-10-03;Albertine;;0;1;RAS;False;
2023-10-04;Albertine;;0;1;RAS;False;
2023-10-05;Albertine;;0;1;RAS;False;
2023-10-06;Albertine;;0;1;RAS;False;
2023-10-07;Albertine;;0;1;RAS;False;
2023-10-08;Albertine;;0;1;RAS;False;
2023-10-09;Albertine;;0;1;RAS;False;
2023-10-10;Albertine;;0;1;RAS;False;
2023-10-11;Albertine;;0;1;RAS;False;
2023-10-12;Albertine;;0;1;RAS;False;
2023-10-13;Albertine;;0;1;RAS;False;
2023-10-14;Albertine;;0;1;RAS;False;
2023-10-15;Albertine;;0;1;RAS;False;
2023-10-16;Albertine;;0;1;RAS;False;
2023-10-17;Albertine;;0;1;RAS;False;
2023-10-18;Albertine;;0;1;RAS;False;
2023-10-19;Albertine;;0;1;RAS;False;
2023-10-20;Albertine;;0;1;RAS;False;
2023-10-21;Albertine;;0;1;RAS;False;
2023-10-22;Albertine;;0;1;RAS;False;
2023-10-23;Albertine;;0;1;RAS;False;
2023-10-24;Albertine;;0;1;RAS;False;
2023-10-25;Albertine;;0;1;RAS;False;
2023-10-26;Albertine;;0;1;RAS;False;
2023-10-27;Albertine;;0;1;RAS;False;
2023-10-28;Albertine;;0;1;RAS;False;
2023-10-29;Albertine;;0;1;RAS;False;
2023-10-30;Albertine;;0;1;RAS;False;
2023-10-31;Albertine;;0;1;RAS;False;
2023-11-01;Albertine;rhume;0;1;RAS;False;rhume
2023-11-02;Albertine;;0;1;RAS;False;
2023-11-03;Albertine;;0;1;RAS;False;
2023-11-04;Albertine;;0;1;RAS;False;
2023-11-05;Albertine;;0;1;RAS;False;
2023-11-06;Albertine;;0;1;RAS;False;
2023-11-07;Albertine;;0;1;RAS;False;
2023-11-08;Albertine;;0;1;RAS;False;
2023-11-09;Albertine;;0;1;RAS;False;
2023-11-10;Albertine;;0;1;RAS;False;
2023-11-11;Albertine;;0;1;RAS;False;
2023-11-12;Albertine;;0;1;RAS;False;
2023-11-13;Albertine;;0;1;RAS;False;
2023-11-14;Albertine;;0;1;RAS;False;
2023-11-15;Albertine;;0;1;RAS;False;
2023-11-16;Albertine;;0;1;RAS;False;
2023-11-17;Albertine;;0;1;RAS;False;
2023-11-18;Albertine;;0;1;RAS;False;
2023-11-19;Albertine;;0;1;RAS;False;
2023-11-20;Albertine;;0;1;RAS;False;
2023-11-21;Albertine;;0;1;RAS;False;
2023-11-22;Albertine;;0;1;RAS;False;
2023-11-23;Albertine;;0;1;RAS;False;
2023-11-24;Albertine;;0;1;RAS;False;
2023-11-25;Albertine;x;1;1;RAS;False;
2023-11-26;Albertine;;0;1;RAS;False;
2023-11-27;Albertine;x;1;1;RAS;False;
2023-11-28;Albertine;;0;1;RAS;False;
2023-11-29;Albertine;x;1;1;RAS;False;
2023-11-30;Albertine;;0;1;RAS;False;
2023-12-01;Albertine;x;1;1;RAS;False;
2023-12-02;Albertine;;0;1;RAS;False;
2023-12-03;Albertine;x;1;1;RAS;False;
2023-12-04;Albertine;;0;1;RAS;False;
2023-12-05;Albertine;x;1;1;RAS;False;
2023-12-06;Albertine;;0;1;RAS;False;
2023-12-07;Albertine;;0;1;RAS;False;
2023-12-08;Albertine;;0;1;RAS;False;
2023-12-09;Albertine;;0;1;RAS;False;
2023-12-10;Albertine;;0;1;RAS;False;
2023-12-11;Albertine;;0;1;RAS;False;
2023-12-12;Albertine;;0;1;RAS;False;
2023-12-13;Albertine;;0;1;RAS;False;
2023-12-14;Albertine;;0;1;RAS;False;
2023-12-15;Albertine;;0;1;RAS;False;
2023-12-16;Albertine;;0;1;RAS;False;
2023-12-17;Albertine;;0;1;RAS;False;
2023-12-18;Albertine;;0;1;RAS;False;
2023-12-19;Albertine;;0;1;RAS;False;
2023-12-20;Albertine;;0;1;RAS;False;
2023-12-21;Albertine;;0;1;RAS;False;
2023-12-22;Albertine;;0;1;RAS;False;
2023-12-23;Albertine;;0;1;RAS;False;
2023-12-24;Albertine;;0;1;RAS;False;
2023-12-25;Albertine;;0;1;RAS;False;
2023-12-26;Albertine;;0;1;RAS;False;
2023-12-27;Albertine;;0;1;RAS;False;
2023-12-28;Albertine;x;1;1;RAS;False;
2023-12-29;Albertine;;0;1;RAS;False;
