Date;Ponte_brute;niveau_observation;group_id;Ponte;Etat_oeuf;Doute;Effectif;Remarques;Poule_brute
2023-01-28;;individuel;;0;RAS;False;1;;Valérie
2023-01-28;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-28;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-28;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-28;;individuel;;0;RAS;False;1;;Joséphine
2023-01-28;;individuel;;0;RAS;False;1;;Rémiel
2023-01-29;;individuel;;0;RAS;False;1;;Rémiel
2023-01-29;;individuel;;0;RAS;False;1;;Joséphine
2023-01-29;;individuel;;0;RAS;False;1;;Augustine
2023-01-29;;individuel;;0;RAS;False;1;;Saquiel
2023-01-29;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-29;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-29;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-29;;individuel;;0;RAS;False;1;;Valérie
2023-01-30;;individuel;;0;RAS;False;1;;Rémiel
2023-01-30;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-30;;individuel;;0;RAS;False;1;;Joséphine
2023-01-30;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-30;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-30;;individuel;;0;RAS;False;1;;Valérie
2023-01-30;;individuel;;0;RAS;False;1;;Augustine
2023-01-30;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-31;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-31;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-31;;individuel;;0;RAS;False;1;;Saquiel
2023-01-31;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-31;;individuel;;0;RAS;False;1;;Joséphine
2023-01-31;;individuel;;0;RAS;False;1;;Valérie
2023-01-31;;individuel;;0;RAS;False;1;;Rémiel
2023-01-31;;individuel;;0;RAS;False;1;;Augustine
2023-02-01;x? ;individuel;;1;RAS;True;1;;Pioupioute
2023-02-01;;individuel;;0;RAS;False;1;;Valérie
2023-02-01;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-02-01;x;individuel;;1;RAS;False;1;;Rémiel
