Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
29/06/2023,26,24,0,beau,,Joséphine,,no egg,RAS,0
30/06/2023,24,22,13,nuageux/orage,,Joséphine,x,RAS,RAS,1
01/07/2023,19,20,3,pluie/couvert/vent,8 œuf sous Cunégonde: 6marans+1valérie+1joséphine,Joséphine,x,RAS,RAS,1
02/07/2023,22,20,0,couvert/vent,1œuf valérie et 1oeuf Joséphine sous Cunégonde,Joséphine,,no egg,RAS,0
03/07/2023,25,22,0,éclaircies,1oeuf Albertine et un œuf Valérie donc 12 œufs sous Cunégonde,Joséphine,,no egg,RAS,0
04/07/2023,27,23,0,couvert/éclaircies,,Joséphine,x,RAS,RAS,1
05/07/2023,26,24,1,lourd/orages,"Valérie tousse, avicoryl dans l'eau",Joséphine,x,RAS,RAS,1
06/07/2023,27,24,0,éclaircies,,Joséphine,x,RAS,RAS,1
07/07/2023,27,24,0,beau/lourd/orageux,,Joséphine,x,RAS,RAS,1
08/07/2023,33,24,6,beau/orages,vit C dans l'eau+oligoélément,Joséphine,x,RAS,RAS,1
09/07/2023,32,26,0,beau,,Joséphine,x,RAS,RAS,1
10/07/2023,28,25,0,couvert/lourd,21°c et 80%H le matin,Joséphine,,no egg,RAS,0
11/07/2023,31,27,0,beau,"22°C et 82%H  matin, 27°c à 22h",Joséphine,x,RAS,RAS,1
12/07/2023,28,26,1,beau/orageux,œuf d'Albertine et Rémiel pondu cette nuit dans le poulailler,Joséphine,,no egg,RAS,0
13/07/2023,21,22,1,pluie/couvert,,Joséphine,x,RAS,RAS,1
14/07/2023,23,22,0,bruine/couvert,,Joséphine,x,RAS,RAS,1
15/07/2023,31,26,0,beau,fin doxycyline pour Saquiel/ 24°C et 75%H à 23h ext/0 œuf,Joséphine,,no egg,RAS,0
16/07/2023,30,21,3,beau/averses,17°C et 80%H à 20h,Joséphine,x,RAS,RAS,1
17/07/2023,27,23,0,mitigé/beau,,Joséphine,x,RAS,RAS,1
18/07/2023,27,26,0,beau,installation voile d'ombrage sur la terrasse,Joséphine,x,RAS,RAS,1
19/07/2023,33,26,0,beau,36°C à 16h/26° à 22h30/ Joséphine semble vouloir couver,Joséphine,x,RAS,RAS,1
20/07/2023,24,23,2,orage/couvert,orages la nuit du 18 au 19/07,Joséphine,,no egg,RAS,0
21/07/2023,27,23,0,beau,Valérie semble vouloir couver aussi cette coquine!!,Joséphine,,no egg,RAS,0
22/07/2023,19,21,0,couvert/bruine,Valérie couve…........,Joséphine,,no egg,RAS,0
23/07/2023,29,23,0,soleil et qq nuages,,Joséphine,x,RAS,RAS,1
24/07/2023,30,26,0,beau,0 œuf/ 26°c à 21h30,Joséphine,,no egg,RAS,0
25/07/2023,21,21,3,couvert/pluie,,Joséphine,x,RAS,RAS,1
26/07/2023,15,19,3,pluie/couvert/vent,trouvé 1 œuf d'Albertine dans le jardin,Joséphine,,no egg,RAS,0
27/07/2023,28,21,0,beau,,Joséphine,x,RAS,RAS,1
28/07/2023,30,23,16,beau/orages,0 œuf,Joséphine,,no egg,RAS,0
29/07/2023,29,24,0,beau,,Joséphine,x,RAS,RAS,1
30/07/2023,31,25,0,beau/orage,,Joséphine,,no egg,RAS,0
31/07/2023,22,23,12,pluie/couvert,,Joséphine,x,RAS,RAS,1
