Date,T°C (12-15h),T°C poulailler,Pluie,Météo,commentaires
16/12/2023,9,7,1,bruine,
17/12/2023,13,3,0,beau,
18/12/2023,15,3,0,beau,-4°C ce matin
19/12/2023,16,3,0,beau,gelée matinale
20/12/2023,4,5,0,gris,
21/12/2023,8,6,11,pluie/éclaircies/vent,
22/12/2023,11,11,0,vent/bruine,
23/12/2023,12,9,1,gris/vent/éclaircies/pluie,
24/12/2023,12,9,0,éclaircies,
25/12/2023,13,7,0,beau,
26/12/2023,12,4,0,beau,
27/12/2023,15,3,0,beau,
28/12/2023,17,5,0,beau,grosse gelée matinale
29/12/2023,10,4,0,gris,
30/12/2023,9,7,0,gris/éclaircies,
31/12/2023,17,7,0,beau,
