Date;T°C (12h-15h);Pluie(mm);Météo;Humidité;Météo_1;Météo_2;Météo_3;Météo_4;Type_Météo_1;Type_Météo_2;Type_Météo_3;Type_Météo_4
2024-06-22;20.0;1.0;éclaircies/pluie;0.47;éclaircies;pluie;;;ECLAIRCIES;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-06-23;19.0;0.0;couvert/éclaircies;0.5;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-06-24;26.0;0.0;beau;0.39;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-25;28.0;0.0;beau;0.4;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-26;30.0;0.0;beau;0.36;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-27;31.0;0.0;beau/orageux;0.49;beau;orageux;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2024-06-28;25.0;0.0;couvert;0.64;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-29;18.0;12.0;couvert/orages;0.81;couvert;orages;;;COUVERT;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2024-06-30;22.0;0.0;couvert;0.54;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-01;17.0;2.0;pluie/éclaircies;0.7;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-07-02;20.0;0.0;éclaircie;0.5;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-03;24.0;0.0;belles éclaircies/vent;0.36;belles éclaircies;vent;;;ECLAIRCIES;VENT;NON RENSEIGNE;NON RENSEIGNE
2024-07-04;25.0;0.0;éclaircie/couvert;0.45;éclaircie;couvert;;;ECLAIRCIES;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-07-05;21.0;0.0;beau/chaud;;beau;chaud;;;BEAU;CHAUD;NON RENSEIGNE;NON RENSEIGNE
2024-07-06;17.0;25.0;orages;0.79;orages;;;;ORAGE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-07;18.0;0.0;couvert/éclaircies/beau;0.56;couvert;éclaircies;beau;;COUVERT;ECLAIRCIES;BEAU;NON RENSEIGNE
2024-07-08;27.0;0.0;beau/vent;0.5;beau;vent;;;BEAU;VENT;NON RENSEIGNE;NON RENSEIGNE
2024-07-09;30.0;0.0;voilé;0.53;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-10;27.0;0.0;beau;0.44;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-11;33.0;0.0;beau/orageux;0.38;beau;orageux;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2024-07-12;19.0;7.0;couvert/pluie;0.77;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-07-13;18.0;0.0;couvert/éclaircies;0.49;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-07-14;26.0;0.0;beau;0.5;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-15;30.0;0.0;beau/orageux;0.44;beau;orageux;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2024-07-16;23.0;2.0;pluie/couvert;0.47;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-07-17;30.0;0.0;voilé/beau;0.4;voilé;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2024-07-18;31.0;0.0;beau;0.41;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-19;32.0;0.0;voilé/beau;0.4;voilé;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2024-07-20;29.0;0.0;lourd;0.53;lourd;;;;CHAUD;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-21;21.0;27.0;orages/éclaircies/pluie;0.52;orages;éclaircies;pluie;;ORAGE;ECLAIRCIES;PLUIE;NON RENSEIGNE
2024-07-22;21.0;0.0;couvert/éclaircies;0.52;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-07-23;28.0;0.0;beau;0.42;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-24;28.0;0.0;voilé;0.48;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-25;27.0;0.0;brumeux/beau;0.45;brumeux;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2024-07-26;30.0;0.0;nuageux;0.45;nuageux;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-27;26.0;0.0;brumeux/couvert;0.6;brumeux;couvert;;;COUVERT;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-07-28;31.0;0.0;beau;0.45;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-29;35.0;0.0;beau;0.3;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-07-30;35.0;5.0;beau/orage;0.4;beau;orage;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2024-07-31;33.0;0.0;beau;0.43;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-01;23.0;0.0;couvert/éclaircies;0.71;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-02;22.0;4.0;pluie/couvert;0.74;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-08-03;21.0;0.5;bruine/éclaircies/beau;0.57;bruine;éclaircies;beau;;PLUIE;ECLAIRCIES;BEAU;NON RENSEIGNE
2024-08-04;25.0;0.0;beau;0.3;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-05;30.0;0.0;beau;0.42;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-06;30.0;0.0;orageux/mitigé;0.47;orageux;mitigé;;;ORAGE;MITIGE;NON RENSEIGNE;NON RENSEIGNE
2024-08-07;23.0;0.0;couvert;0.65;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-08;32.0;0.0;beau;0.35;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-09;31.0;0.0;beau;0.36;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-10;32.0;0.0;beau;0.43;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-11;33.0;0.0;beau;0.4;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-12;24.0;0.0;couvert/beau;0.7;couvert;beau;;;COUVERT;BEAU;NON RENSEIGNE;NON RENSEIGNE
2024-08-13;25.0;2.0;couvert/pluie/éclaircies;0.65;couvert;pluie;éclaircies;;COUVERT;PLUIE;ECLAIRCIES;NON RENSEIGNE
2024-08-14;19.0;95.0;fortes pluie/acalmie;0.79;fortes pluie;acalmie;;;AUTRE/NON CLASSE;AUTRE/NON CLASSE;NON RENSEIGNE;NON RENSEIGNE
2024-08-15;24.0;5.0;pluie/éclaircies;0.5;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-16;28.0;0.0;couvert/belles éclaircies;0.42;couvert;belles éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-17;29.0;0.0;ensoleillé;0.45;ensoleillé;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-18;25.0;5.0;pluie/éclaircies;0.51;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-19;27.0;0.0;ensoleillé;0.34;ensoleillé;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-20;26.0;0.0;beau;0.35;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-21;21.0;4.0;pluie/couvert/éclaircies;0.59;pluie;couvert;éclaircies;;PLUIE;COUVERT;ECLAIRCIES;NON RENSEIGNE
2024-08-22;27.0;0.0;beau;0.37;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-23;20.0;0.0;couvert/éclaircies;0.67;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-24;31.0;37.0;beau/orages;0.49;beau;orages;;;BEAU;ORAGE;NON RENSEIGNE;NON RENSEIGNE
2024-08-25;22.0;0.0;couvert/éclaircies;0.35;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-26;24.0;0.0;beau;0.3;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-27;26.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-28;31.0;0.0;beau;0.41;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-29;26.0;0.0;couvert/éclaircies;0.5;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-08-30;29.0;0.0;beau;0.45;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-08-31;31.0;1.0;couvert/éclaircies/averses;0.52;couvert;éclaircies;averses;;COUVERT;ECLAIRCIES;PLUIE;NON RENSEIGNE
2024-09-01;21.0;0.0;pluie/couvert;0.74;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-09-02;26.0;0.0;beau;0.32;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-03;18.0;10.0;pluie/bruine;0.8;pluie;bruine;;;PLUIE;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-04;16.0;30.0;pluie;0.8;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-05;24.0;0.0;éclaircie;0.43;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-06;18.0;3.0;nuageux/pluie;0.6;nuageux;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-07;21.0;0.0;nuageux/;0.64;nuageux;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-08;19.0;4.0;éclaircies/dégradation/pluie;0.69;éclaircies;dégradation;pluie;;ECLAIRCIES;AUTRE/NON CLASSE;PLUIE;NON RENSEIGNE
2024-09-09;18.0;0.0;couvert/éclaircies;0.65;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-09-10;21.0;0.0;éclaircie;0.44;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-11;23.0;19.0;éclaircie/pluie;0.43;éclaircie;pluie;;;ECLAIRCIES;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-12;19.0;1.0;pluie/éclaircies;;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-09-13;18.0;2.0;pluie/éclaircies;0.4;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-09-14;20.0;0.0;beau;0.32;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-15;17.0;0.0;beau;0.42;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-16;20.0;0.0;beau;0.35;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-17;16.0;0.0;couvert;0.62;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-18;26.0;0.0;beau;0.38;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-19;23.0;0.0;beau;0.45;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-20;20.0;1.0;couvert/pluie/éclaircies;0.71;couvert;pluie;éclaircies;;COUVERT;PLUIE;ECLAIRCIES;NON RENSEIGNE
2024-09-21;22.0;6.0;nuageux/pluie;0.57;nuageux;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-22;18.0;4.0;couvert/pluie;0.74;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-23;19.0;14.0;pluie/éclaircies;0.53;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-09-24;19.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-25;24.0;0.0;beau/voilé;0.46;beau;voilé;;;BEAU;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-09-26;17.0;5.0;couvert/pluie;0.83;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-27;13.0;4.0;couvert/pluie;0.75;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-09-28;17.0;0.0;éclaircies;0.47;éclaircies;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-29;22.0;0.0;beau;0.38;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-09-30;24.0;0.0;beau;0.45;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-01;22.0;0.0;voilé;0.6;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-02;17.0;16.0;pluie;0.63;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-03;17.0;0.0;éclaircie;0.48;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-04;19.0;0.0;éclaircie;;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-05;27.0;0.0;beau;0.27;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-06;25.0;0.0;voilé;0.46;voilé;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-07;18.0;5.0;couvert/pluie;0.69;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-10-08;25.0;0.0;beau;0.37;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-09;25.0;10.0;beau/pluie;0.5;beau;pluie;;;BEAU;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-10-10;17.0;1.0;pluie/éclaircies;0.5;pluie;éclaircies;;;PLUIE;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-10-11;17.0;0.0;beau;;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-12;17.0;0.0;couvert;0.68;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-13;28.0;0.0;beau;0.4;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-14;24.0;0.0;couvert;0.55;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-15;20.0;0.0;couvert;0.73;couvert;;;;COUVERT;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-16;23.0;0.0;éclaircie;0.5;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-17;17.0;40.0;couvert/pluie;0.83;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-10-18;13.0;14.0;pluie;0.85;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-19;17.0;0.0;éclaircie;0.58;éclaircie;;;;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-20;25.0;0.0;beau;0.41;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-21;23.0;0.0;beau;0.45;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-22;14.0;16.0;pluie;0.8;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-23;17.0;0.0;brouillard/couvert;;brouillard;couvert;;;COUVERT;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-10-24;23.0;0.0;beau;0.46;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-25;18.0;7.0;couvert/pluie;0.67;couvert;pluie;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-10-26;12.0;6.0;pluie;0.81;pluie;;;;PLUIE;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-10-27;15.0;0.0;bruine/couvert/éclaircies;0.61;bruine;couvert;éclaircies;;PLUIE;COUVERT;ECLAIRCIES;NON RENSEIGNE
