Date,Nom de la poule,Ponte,Nombre d'oeufs,Etat de l'oeuf,Evènement
09/03/2023,Albertine,x,1,RAS,RAS
10/03/2023,Albertine,x,1,RAS,RAS
11/03/2023,Albertine,,0,no egg,RAS
12/03/2023,Albertine,x,1,RAS,RAS
13/03/2023,Albertine,,0,no egg,RAS
14/03/2023,Albertine,x,1,RAS,RAS
15/03/2023,Albertine,,0,no egg,RAS
16/03/2023,Albertine,x,1,RAS,RAS
17/03/2023,Albertine,x,1,RAS,RAS
18/03/2023,Albertine,,0,no egg,RAS
19/03/2023,Albertine,x,1,RAS,RAS
20/03/2023,Albertine,x,1,RAS,RAS
21/03/2023,Albertine,,0,no egg,RAS
22/03/2023,Albertine,x,1,RAS,RAS
23/03/2023,Albertine,x,1,RAS,RAS
24/03/2023,Albertine,,0,no egg,RAS
25/03/2023,Albertine,x,1,RAS,RAS
26/03/2023,Albertine,x,1,RAS,RAS
27/03/2023,Albertine,,0,no egg,RAS
28/03/2023,Albertine,x,1,RAS,RAS
29/03/2023,Albertine,x,1,RAS,RAS
30/03/2023,Albertine,,0,no egg,RAS
31/03/2023,Albertine,x,1,RAS,RAS
01/04/2023,Albertine,,0,no egg,RAS
02/04/2023,Albertine,x,1,RAS,RAS
03/04/2023,Albertine,x,1,RAS,RAS
04/04/2023,Albertine,,0,no egg,RAS
05/04/2023,Albertine,x,1,RAS,RAS
06/04/2023,Albertine,x,1,RAS,RAS
07/04/2023,Albertine,,0,no egg,RAS
08/04/2023,Albertine,x,1,RAS,RAS
09/04/2023,Albertine,x,1,RAS,RAS
10/04/2023,Albertine,,0,no egg,RAS
11/04/2023,Albertine,x,1,RAS,RAS
12/04/2023,Albertine,,0,no egg,RAS
13/04/2023,Albertine,x,1,RAS,RAS
14/04/2023,Albertine,,0,no egg,RAS
15/04/2023,Albertine,x,1,RAS,RAS
16/04/2023,Albertine,x,1,RAS,RAS
17/04/2023,Albertine,,0,no egg,RAS
18/04/2023,Albertine,x,1,RAS,RAS
19/04/2023,Albertine,,0,no egg,RAS
20/04/2023,Albertine,x,1,RAS,RAS
21/04/2023,Albertine,x,1,RAS,RAS
22/04/2023,Albertine,,0,no egg,RAS
23/04/2023,Albertine,x,1,RAS,RAS
24/04/2023,Albertine,,0,no egg,RAS
25/04/2023,Albertine,x,1,RAS,RAS
26/04/2023,Albertine,x,1,RAS,RAS
