Date;Texte;Année;Catégorie;Poules_Cités
2025-03-19;Pioupioute attaquée par le coq;2025;Comportement;Pioupioute
2025-03-20;vent;2025;Météo / Environnement;Aucune
2025-03-20;alerte jaune vent;2025;Météo / Environnement;Aucune
2025-03-21;fin tempête vers 11h;2025;Météo / Environnement;Aucune
2025-03-22;œuf mou trouvé dans le poulailler de P+V+T;2025;Anomalies Œufs;Aucune
2025-03-24;grêle et pluie en fin de journée;2025;Météo / Environnement;Aucune
2025-03-25;gros temps de merde l’après midi orage grêle pluie;2025;Météo / Environnement;Aucune
2025-03-28;vent;2025;Météo / Environnement;Aucune
2025-03-29;pluie la nuit;2025;Météo / Environnement;Aucune
2025-03-29;vent;2025;Météo / Environnement;Aucune
2025-04-02;vent;2025;Météo / Environnement;Aucune
2025-04-03;vent;2025;Météo / Environnement;Aucune
2025-04-04;vent;2025;Météo / Environnement;Aucune
2025-04-10;vent;2025;Météo / Environnement;Aucune
2025-04-10;oeufs de Tina cassé;2025;Anomalies Œufs;Tina
2025-04-11;vent;2025;Météo / Environnement;Aucune
2025-04-18;vent;2025;Météo / Environnement;Aucune
2025-04-19;vent;2025;Météo / Environnement;Aucune
2025-04-19;alerte jaune orages;2025;Météo / Environnement;Aucune
2025-04-20;2 œufs de marans cassés dans le poulailler ce matin (A et N) +1oeuf de A ds le pondoir (cassé);2025;Anomalies Œufs;Marans
2025-04-23;vent;2025;Météo / Environnement;Aucune
2025-04-24;vent;2025;Météo / Environnement;Aucune
2025-04-29;vent;2025;Météo / Environnement;Aucune
2025-04-30;vent;2025;Météo / Environnement;Aucune
2025-05-01;vent/22°C à 18h;2025;Météo / Environnement;Aucune
2025-05-02;vent;2025;Météo / Environnement;Aucune
2025-05-02;sable du Sahara;2025;Météo / Environnement;Aucune
2025-05-03;orage vers minuit;2025;Météo / Environnement;Aucune
2025-05-04;alerte jaune orage;2025;Météo / Environnement;Aucune
2025-05-05;alerte jaune orage inondations;2025;Météo / Environnement;Aucune
2025-05-05;vent;2025;Météo / Environnement;Aucune
2025-05-06;vent;2025;Météo / Environnement;Aucune
2025-05-07;vent;2025;Météo / Environnement;Aucune
2025-05-07;un œuf de marans trouvé dans le poulailler;2025;Localisation Œufs;Marans
2025-05-09;vent;2025;Météo / Environnement;Aucune
2025-05-10;vent;2025;Météo / Environnement;Aucune
2025-05-10;oeuf d’Alberrtine cassé dans le poulailler;2025;Anomalies Œufs;Aucune
2025-05-13;fortes averses+grêle en fin de journée;2025;Météo / Environnement;Aucune
2025-05-15;vent;2025;Météo / Environnement;Aucune
2025-05-16;vent;2025;Météo / Environnement;Aucune
2025-05-19;vent;2025;Météo / Environnement;Aucune
